Price,Close,High,Low,Open,Volume,next_day_high_target,Next_Day_Close_Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2022-11-15,147.6719055,151.1658787,146.2152686,149.8175063,89868300,147.504622,146.4416656
2022-11-16,146.4416656,147.504622,144.9653399,146.7763109,64218300,149.0891707,148.3411713
2022-11-17,148.3411713,149.0891707,143.8432929,144.1188724,80389400,150.2899562,148.9022064
2022-11-18,148.9022064,150.2899562,147.6030476,149.9061121,74829600,147.9967184,145.6739655
2022-11-21,145.6739655,147.9967184,145.3885491,147.7900412,58724100,148.0458946,147.8096771
2022-11-22,147.8096771,148.0458946,144.6109724,145.7920446,51804100,149.4336685,148.6856689
2022-11-23,148.6856689,149.4336685,146.9829627,147.0912272,58301400,146.530236,145.7723846
2022-11-25,145.7723846,146.530236,144.7980044,145.969225,35195900,144.3255746,141.9437714
2022-11-28,141.9437714,144.3255746,141.1170327,142.8492492,69246000,142.524459,138.9419098
2022-11-29,138.9419098,142.524459,138.1348597,142.012662,83763800,146.3727615,145.6936493
2022-11-30,145.6936493,146.3727615,138.3317099,139.1682854,111380900,146.7763035,145.9692383
2022-12-01,145.9692383,146.7763035,144.2960722,145.8708256,71250400,145.6641154,145.4771118
2022-12-02,145.4771118,145.6641154,143.3511995,143.6563194,65447400,148.5380189,144.3157349
2022-12-05,144.3157349,148.5380189,143.4693077,145.4377416,68826400,144.9751456,140.6544342
2022-12-06,140.6544342,144.9751456,139.6800541,144.7487799,64727200,141.1072013,138.7155609
2022-12-07,138.7155609,141.1072013,137.7903944,139.9458323,69721100,141.2548386,140.3985596
2022-12-08,140.3985596,141.2548386,138.8730351,140.1131432,62128300,143.2724894,139.9163055
2022-12-09,139.9163055,143.2724894,138.6761824,140.0934574,76097000,142.2193399,142.2095032
2022-12-12,142.2095032,142.2193399,138.8336314,140.4477465,70462700,147.6030338,143.174057
2022-12-13,143.174057,147.6030338,141.9634742,147.1404506,93886200,144.3453148,140.9497681
2022-12-14,140.9497681,144.3453148,138.9321196,143.0559925,82291200,139.5620119,134.3456573
2022-12-15,134.3456573,139.5620119,133.883074,138.8828996,98931900,135.4774803,132.3870392
2022-12-16,132.3870392,135.4774803,131.619351,134.5326403,160156900,133.066128,130.2807922
2022-12-19,130.2807922,133.066128,129.2473765,132.9775521,79592600,131.1469172,130.2119141
2022-12-20,130.2119141,131.1469172,127.8399475,129.316273,77432800,134.650746,133.3122101
2022-12-21,133.3122101,134.650746,130.6548268,130.8811925,85928000,132.4362327,130.1430054
2022-12-22,130.1430054,132.4362327,128.2434738,132.2295556,77852100,130.3299982,129.7788391
2022-12-23,129.7788391,130.3299982,127.5938764,128.8536728,63814900,129.3359386,127.9777145
2022-12-27,127.9777145,129.3359386,126.6883929,129.3064133,69007800,128.9619692,124.0507278
2022-12-28,124.0507278,128.9619692,123.8834127,127.6234333,85438400,128.4206332,127.5643692
2022-12-29,127.5643692,128.4206332,125.7140439,125.9699349,75703700,127.8989763,127.8792877
2022-12-30,127.8792877,127.8989763,125.4187531,126.3832889,77034200,128.8340031,123.0960236
2023-01-03,123.0960236,128.8340031,122.2102267,128.2237934,112117500,126.629356,124.365654
2023-01-04,124.365654,126.629356,123.1058575,124.8872878,89113600,125.7534109,123.046814
2023-01-05,123.046814,125.7534109,122.7909229,125.1235126,80962700,128.2336194,127.5741959
2023-01-06,127.5741959,128.2336194,122.9188539,124.0211796,87754700,131.3043976,128.0958405
2023-01-09,128.0958405,131.3043976,127.8399494,128.4107971,70790800,129.1883208,128.666687
2023-01-10,128.666687,129.1883208,126.09788,128.2041038,63896200,131.4028065,131.3831329
2023-01-11,131.3831329,131.4028065,128.4009566,129.1784814,69458900,132.1409884,131.3044128
2023-01-12,131.3044128,132.1409884,129.3655039,131.7669961,71379600,132.7905655,132.6330872
2023-01-13,132.6330872,132.7905655,129.5820232,129.9461788,57809700,135.1231635,133.7944794
2023-01-17,133.7944794,135.1231635,132.0130488,132.7019978,63646600,136.4223362,133.076004
2023-01-18,133.076004,136.4223362,132.8988371,134.6605942,69672800,134.0995841,133.1350555
2023-01-19,133.1350555,134.0995841,131.6587298,131.9638348,58280400,135.8416418,135.6940002
2023-01-20,135.6940002,135.8416418,132.101614,133.1448817,80223600,141.0580154,138.8828888
2023-01-23,138.8828888,141.0580154,135.723545,135.940074,81760300,140.9005028,140.2804413
2023-01-24,140.2804413,140.9005028,138.0856417,138.0954784,66435100,140.181998,139.6210022
2023-01-25,139.6210022,140.181998,136.6191378,138.6663107,65799300,141.9733131,141.6878967
2023-01-26,141.6878967,141.9733131,139.6603969,140.9103568,54105100,144.906255,143.62677
2023-01-27,143.62677,144.906255,140.8217608,140.9004999,70555800,143.2527519,140.7429962
2023-01-30,140.7429962,143.2527519,140.5953697,142.6720677,64015300,142.0618939,142.0126801
2023-01-31,142.0126801,142.0618939,140.0344091,140.4477785,65874500,144.296058,143.1346741
2023-02-01,143.1346741,144.296058,139.0895565,141.6977256,77663600,148.7939094,148.4396057
2023-02-02,148.4396057,148.7939094,145.8314218,146.549896,118339000,154.8960887,152.0615387
2023-02-03,152.0615387,154.8960887,145.4968126,145.693653,154357300,150.683623,149.3352356
2023-02-06,149.3352356,150.683623,148.4002325,150.1619893,69858300,152.7799999,152.2091522
2023-02-07,152.2091522,152.7799999,148.2624475,148.2624475,83322600,152.1402837,149.5222626
2023-02-08,149.5222626,152.1402837,148.7840997,151.4513347,64120100,151.8942128,148.4888153
2023-02-09,148.4888153,151.8942128,148.0459207,151.3528904,56007100,149.1788508,148.8535614
2023-02-10,148.8535614,149.1788508,147.0891293,147.3257075,57450700,152.0571183,151.6529846
2023-02-13,151.6529846,152.0571183,148.764818,148.7943884,62199000,151.5741356,151.0122681
2023-02-14,151.0122681,151.5741356,148.7056874,149.9476889,61707600,153.2794175,153.1118469
2023-02-15,153.1118469,153.2794175,150.6968366,150.9235479,65573800,154.097596,151.5150146
2023-02-16,151.5150146,154.097596,151.1601549,151.3178586,68167900,150.815153,150.371582
2023-02-17,150.371582,150.815153,148.6958611,150.174441,59144100,149.1393863,146.3596497
2023-02-21,146.3596497,149.1393863,146.2906571,148.0550887,58867200,147.8086808,146.7835388
2023-02-22,146.7835388,147.8086808,145.0585292,146.7441016,51011300,148.1931042,147.2665253
2023-02-23,147.2665253,148.1931042,145.137382,147.9466743,48394200,145.088101,144.6149597
2023-02-24,144.6149597,145.088101,143.6390917,145.0092416,55469600,147.0398126,145.807663
2023-02-27,145.807663,147.0398126,145.3443735,145.6006702,44998500,146.9511125,145.3049622
2023-02-28,145.3049622,146.9511125,144.7332429,144.9501024,50547000,145.1274734,143.2348938
2023-03-01,143.2348938,145.1274734,142.9391749,144.7331916,55479000,144.6149644,143.8263855
2023-03-02,143.8263855,144.6149644,141.845079,142.3182353,52238100,148.9521046,148.8732452
2023-03-03,148.8732452,148.9521046,145.2260854,145.9259379,70732300,154.0679992,151.6332703
